Neighborhood,ID,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation,Cultural industry,Finance,Real estate,Professional,Management,Admin &                         support,Education,Health care,Arts,Accomodation,Other services,Public admin
Parkwoods-Donalda,45,50,13.5135135135135,24,47.4820143884892,42.3280423280423,48.2014388489209,62.2895622895623,39.5280235988201,19.8748043818466,14.3669250645995,36.6153846153846,15.8238172920065,30,53.125,44.7955390334572,57.3116691285081,27.5510204081633,35.7605177993528,71.259842519685,33.7837837837838
Pleasant View,46,33.3333333333333,5.40540540540541,18,19.9040767386091,23.8095238095238,22.6618705035971,27.2727272727273,21.2389380530973,7.66823161189358,6.51162790697674,15.6923076923077,7.50407830342578,8,16.2946428571429,23.9776951672862,22.3042836041359,8.16326530612245,16.6666666666667,26.3779527559055,17.2972972972973
Don Valley Village,47,0,10.8108108108108,18,33.3333333333333,40.3880070546737,34.8920863309352,43.7710437710438,30.9734513274336,13.6150234741784,12.4547803617571,25.8461538461538,14.5595432300163,8,33.4821428571429,34.3866171003717,43.5745937961595,10.8843537414966,30.0970873786408,45.6692913385827,23.2432432432432
Hillcrest Village,48,0,10.8108108108108,14,13.189448441247,22.2222222222222,21.5827338129496,24.5791245791246,17.9941002949853,8.45070422535211,8.06201550387597,16.9230769230769,9.54323001631321,4,13.8392857142857,20.2602230483271,27.6218611521418,5.10204081632653,15.0485436893204,18.8976377952756,12.972972972973
Bayview Woods-Steeles,49,0,0,8,11.031175059952,11.8165784832451,18.3453237410072,20.3703703703704,7.9646017699115,4.53834115805947,6.35658914728682,15.3846153846154,7.17781402936378,0,9.15178571428571,23.2342007434944,23.4859675036928,5.10204081632653,10.8414239482201,18.503937007874,11.8918918918919
Newtonbrook East,50,33.3333333333333,10.8108108108108,18,21.5827338129496,17.8130511463845,17.6258992805755,31.4814814814815,12.9793510324484,7.04225352112676,7.49354005167959,15.6923076923077,9.33931484502447,8,16.2946428571429,21.1895910780669,21.7134416543575,8.50340136054422,16.8284789644013,31.1023622047244,15.1351351351351
Willowdale East,51,33.3333333333333,27.027027027027,68,37.410071942446,46.031746031746,76.9784172661871,77.4410774410774,34.5132743362832,25.0391236306729,39.9483204134367,66.1538461538462,37.8466557911909,38,41.7410714285714,70.817843866171,75.9231905465288,23.469387755102,43.3656957928803,79.9212598425197,59.7297297297297
Bayview Village,52,16.6666666666667,10.8108108108108,30,18.4652278177458,19.7530864197531,38.1294964028777,42.7609427609428,18.8790560471976,10.4851330203443,13.3850129198966,25.8461538461538,15.905383360522,18,20.9821428571429,33.8289962825279,37.9615952732644,11.9047619047619,16.504854368932,42.1259842519685,20.5405405405405
Henry Farm,53,16.6666666666667,10.8108108108108,20,15.8273381294964,19.2239858906526,20.863309352518,31.4814814814815,15.929203539823,10.641627543036,8.9922480620155,17.5384615384615,11.6639477977162,8,21.2053571428571,18.5873605947955,20.6794682422452,5.78231292517007,22.168284789644,21.6535433070866,9.72972972972973
O'Connor-Parkview,54,66.6666666666667,16.2162162162162,18,29.7362110311751,19.2239858906526,23.3812949640288,33.1649831649832,25.6637168141593,12.9890453834116,7.85529715762274,15.6923076923077,6.5252854812398,8,22.7678571428571,26.9516728624535,27.0310192023634,12.2448979591837,25.2427184466019,33.4645669291339,22.4324324324324
Thorncliffe Park,55,0,0,12,20.3836930455636,18.5185185185185,20.5035971223022,31.986531986532,43.952802359882,7.04225352112676,5.42635658914729,14.7692307692308,6.6884176182708,4,31.0267857142857,15.0557620817844,21.5657311669128,7.82312925170068,21.0355987055016,28.3464566929134,14.0540540540541
Leaside-Bennington,56,41.6666666666667,16.2162162162162,16,14.1486810551559,10.9347442680776,19.7841726618705,22.3905723905724,8.55457227138643,12.5195618153365,12.1447028423773,16.6153846153846,14.0701468189233,22,12.2767857142857,32.3420074349442,26.1447562776957,20.0680272108844,14.2394822006473,31.8897637795276,22.1621621621622
Broadview North,57,16.6666666666667,5.40540540540541,8,16.3069544364508,7.93650793650794,10.0719424460432,20.8754208754209,13.8643067846608,13.6150234741784,5.27131782945736,10.4615384615385,5.26101141924959,8,15.8482142857143,21.9330855018587,18.7592319054653,10.5442176870748,21.3592233009709,24.8031496062992,15.9459459459459
Old East York,58,0,0,8,15.5875299760192,7.05467372134039,8.27338129496403,17.3400673400673,12.094395280236,7.04225352112676,4.44444444444444,7.38461538461539,4.9347471451876,4,11.8303571428571,16.9144981412639,16.5435745937962,6.46258503401361,9.8705501618123,20.4724409448819,15.1351351351351
Danforth East York,59,0,5.40540540540541,20,24.220623501199,13.4038800705467,17.6258992805755,28.1144781144781,14.4542772861357,20.6572769953052,7.39018087855297,10.7692307692308,8.89070146818923,12,16.7410714285714,39.4052044609665,33.2348596750369,19.3877551020408,19.57928802589,32.6771653543307,25.1351351351351
Woodbine-Lumsden,60,0,5.40540540540541,8,12.7098321342926,6.34920634920635,6.11510791366907,16.6666666666667,15.0442477876106,7.82472613458529,4.39276485788114,4,4.20065252854812,4,9.59821428571429,16.1710037174721,13.8847858197932,12.2448979591837,7.28155339805825,17.7165354330709,15.9459459459459
Taylor-Massey,61,16.6666666666667,0,14,16.0671462829736,14.6384479717813,10.431654676259,29.1245791245791,20.9439528023599,9.70266040688576,5.16795865633075,11.6923076923077,6.48450244698206,10,35.4910714285714,18.0297397769517,22.7474150664697,9.52380952380952,27.0226537216829,26.7716535433071,11.3513513513514
