Neighborhood,ID,Accomodation,Admin/support,Agriculture,Arts,Construction,Cultural industry,Education,Finance,Health care,Management,Manufacturing,Mining,Other services,Professional,Public admin,Real estate,Retail trade,Transportation,Utilities,Wholesale trade
Eringate-Centennial-West Deane,11,5.13,5.28,0.1,2.23,7.46,3.15,9.49,6.55,9.54,0.15,7.97,0.0,4.52,9.19,4.82,2.08,10.51,6.35,0.91,4.57
Markland Wood,12,4.58,3.93,0.19,2.9,6.54,3.55,9.91,8.04,8.13,0.19,6.82,0.0,3.27,12.15,4.95,2.62,10.65,5.89,0.93,4.77
Etobicoke West Mall,13,8.51,6.59,0.16,2.17,6.91,2.09,6.51,6.02,8.43,0.16,9.16,0.0,4.42,9.32,4.26,2.17,10.36,7.63,0.32,4.82
Islington-City Centre West,14,6.22,5.24,0.12,2.05,6.78,4.11,7.39,8.49,9.35,0.22,6.06,0.18,3.63,13.11,4.46,3.11,9.37,5.48,0.38,4.24
Kingsway South,15,3.51,3.73,0.0,2.34,3.73,3.62,8.2,14.48,8.63,0.64,5.54,0.21,3.62,17.89,4.05,4.15,7.99,2.02,0.43,5.22
Stonegate-Queensway,16,5.04,4.06,0.25,2.03,7.36,3.55,8.84,8.63,9.1,0.43,6.34,0.18,4.35,13.63,4.42,3.23,9.17,4.49,0.69,4.2
Mimico (includes Humber Bay Shores),17,5.69,5.11,0.22,2.31,5.97,4.58,6.72,7.73,8.79,0.24,7.01,0.17,4.0,13.61,4.19,3.52,9.56,5.03,0.26,5.28
New Toronto,18,7.61,5.76,0.24,2.96,6.73,4.48,8.41,6.0,8.57,0.16,7.29,0.0,4.32,7.93,5.44,2.72,10.33,5.52,0.4,5.12
Long Branch,19,6.27,5.68,0.33,3.17,6.43,3.17,7.77,4.85,8.35,0.42,8.69,0.0,4.59,11.36,4.09,2.42,10.61,5.51,0.42,5.85
Alderwood,20,5.01,5.38,0.15,2.32,9.19,3.59,7.4,5.68,7.7,0.3,10.39,0.22,4.41,7.92,4.86,2.17,11.96,6.28,0.6,4.48
Humber Summit,21,8.37,7.29,0.18,1.8,8.19,1.53,4.68,3.42,7.83,0.18,15.93,0.36,6.03,3.87,1.44,1.71,13.05,9.63,0.72,3.78
Humbermede,22,7.83,9.12,0.14,1.57,8.85,1.43,4.22,3.54,9.19,0.27,18.52,0.0,4.77,4.77,1.7,1.5,10.01,8.1,0.14,4.36
Pelmo Park-Humberlea,23,4.52,6.52,0.17,1.65,11.64,1.3,7.38,5.47,9.64,0.35,10.51,0.0,5.73,6.6,3.82,2.43,11.21,6.43,0.43,4.17
Black Creek,24,7.27,8.53,0.46,1.26,8.59,1.14,3.95,2.46,8.36,0.23,21.12,0.0,6.07,3.66,1.66,1.49,12.82,7.16,0.11,3.66
Glenfield-Jane Heights,25,7.83,9.02,0.31,1.3,8.9,1.34,4.25,2.95,10.16,0.08,19.53,0.0,5.51,3.23,1.97,1.46,11.42,6.42,0.16,4.17
Downsview-Roding-CFB,26,6.95,8.0,0.06,1.28,11.88,1.79,5.27,4.9,9.63,0.23,14.33,0.11,5.9,4.78,3.28,2.08,10.48,5.41,0.31,3.33
York University Heights,27,8.26,7.13,0.07,1.73,7.59,2.22,6.6,4.73,8.72,0.14,13.87,0.21,4.77,6.64,3.0,2.33,11.93,5.33,0.32,4.41
Rustic,28,5.92,7.93,0.25,1.26,9.82,1.51,5.92,4.28,11.08,0.25,8.82,0.0,6.68,4.53,3.53,2.02,12.97,8.69,0.25,4.28
Maple Leaf,29,8.18,7.98,0.4,0.9,10.78,2.0,6.59,4.49,11.18,0.0,11.78,0.2,6.79,4.79,2.5,2.89,11.28,4.29,0.2,2.79
Brookhaven-Amesbury,30,6.61,8.43,0.11,1.82,10.54,2.28,4.56,4.73,10.42,0.11,12.87,0.23,5.41,4.73,2.39,2.28,11.96,5.64,0.51,4.38
Yorkdale-Glen Park,31,6.62,7.41,0.14,1.64,8.9,1.92,7.41,7.48,9.26,0.0,8.62,0.14,7.19,7.41,3.13,3.35,10.75,4.49,0.28,3.85
Englemount-Lawrence,32,6.73,5.62,0.0,1.83,4.04,2.31,10.14,6.11,13.65,0.29,5.77,0.1,9.38,9.9,2.69,3.65,10.43,3.61,0.19,3.56
Clanton Park,33,6.28,4.85,0.0,1.87,5.18,2.42,8.82,6.23,12.95,0.22,6.72,0.22,8.93,10.69,3.75,3.64,9.42,3.31,0.33,4.19
Bathurst Manor,34,5.9,4.89,0.42,1.85,6.32,2.56,8.71,6.08,10.91,0.42,7.63,0.12,6.32,11.39,3.76,2.8,11.87,4.05,0.36,3.64
Westminster-Branson,35,7.24,6.5,0.07,2.27,6.02,2.04,5.57,4.68,13.67,0.19,11.4,0.22,7.39,8.69,2.53,2.19,10.99,4.64,0.33,3.38
Newtonbrook West,36,8.08,5.22,0.21,1.99,5.68,2.53,6.13,7.67,11.81,0.17,8.33,0.25,7.09,10.86,3.03,2.57,10.94,3.32,0.41,3.73
Willowdale West,37,5.1,3.83,0.0,1.7,3.58,4.07,9.23,12.39,8.86,0.55,4.98,0.12,3.83,17.36,4.61,3.46,9.84,2.19,0.49,3.83
Lansing-Westgate,38,5.11,3.66,0.22,2.28,3.88,3.27,9.1,10.65,11.6,0.22,4.99,0.0,4.77,17.87,3.88,3.27,8.16,3.16,0.33,3.55
Bedford Park-Nortown,39,4.33,3.34,0.09,2.31,3.17,2.31,9.04,10.46,13.63,0.56,4.37,0.13,6.64,17.66,1.97,6.17,7.97,1.03,0.47,4.33
St.Andrew-Windfields,40,4.24,3.91,0.11,2.18,4.8,2.57,7.2,8.54,16.69,0.67,5.47,0.22,4.19,15.91,3.13,5.86,7.37,2.12,0.45,4.36
Bridle Path-Sunnybrook-York Mills,41,2.38,2.49,0.57,2.61,4.2,3.63,7.26,16.55,13.49,0.23,3.97,1.13,3.29,17.35,1.93,6.12,5.22,1.25,1.02,5.33
Banbury-Don Mills,42,3.96,4.15,0.07,1.21,3.96,4.26,8.22,10.24,12.18,0.4,4.7,0.15,5.21,16.18,3.82,4.62,8.81,3.05,0.29,4.51
